book_id,user_id,rating
1,4438,2
1,4340,1
1,629,2
1,3728,4
1,2084,4
1,3365,3
1,1601,1
2,2069,3
2,2186,2
2,969,2
2,533,1
2,4490,4
2,2320,2
3,3097,1
3,461,4
3,1620,3
3,926,3
3,790,2
3,162,2
3,4026,4
3,2510,1
4,4651,2
4,3198,1
4,3600,1
4,3518,4
4,2031,2
5,1273,2
5,692,3
6,2576,2
6,3843,3
6,1979,4
7,2963,4
7,1519,4
7,4346,4
7,2814,3
8,3854,3
8,1912,2
8,2889,1
8,2559,4
9,376,3
9,1763,4
10,1405,2
10,2244,3
10,351,2
11,4465,3
11,1286,2
11,4412,1
11,271,1
11,1666,1
11,2104,4
11,3844,3
11,3296,4
12,1947,2
12,2083,4
12,4649,1
13,743,1
13,2794,1
13,4111,1
13,4222,3
14,2106,3
15,2926,2
15,1486,1
15,1889,3
16,4324,2
17,2015,3
18,3501,3
18,2787,4
19,3703,1
19,3687,1
19,4881,1
20,1176,1
20,1567,1
20,4111,2
20,2218,3
20,4111,4
20,894,3
20,4251,4
20,4566,4
21,4274,4
21,474,3
21,4773,3
21,1277,2
21,4528,1
22,2822,4
23,1993,1
23,1849,1
23,4235,4
23,4590,1
23,174,1
24,4870,4
24,1371,1
24,494,3
24,3057,1
24,3298,1
24,2105,1
25,3943,1
26,2408,1
26,4339,4
26,985,3
26,2197,3
26,4494,4
26,3776,1
26,4653,3
27,1240,4
27,2134,4
27,3495,4
27,4513,3
27,1325,2
27,811,3
27,2015,2
27,2920,2
28,1559,2
28,3790,1
28,3128,2
28,2967,1
28,3119,4
28,2515,1
28,327,2
29,1215,4
29,4456,4
29,2296,2
29,2543,2
29,2167,1
29,2230,3
30,3175,4
30,3996,1
31,4714,3
31,3158,2
31,4132,2
31,4141,1
31,4294,1
31,4252,4
31,1886,3
32,4225,2
32,1525,4
33,4031,2
33,4628,1
33,4442,1
33,2767,1
34,232,3
34,4898,2
34,2615,1
34,4890,1
35,2190,1
35,4335,1
35,605,1
35,4282,1
35,3784,3
35,2654,1
35,2275,4
35,2214,3
36,886,2
36,4618,2
37,208,2
38,4560,4
38,431,1
38,537,1
38,3685,1
39,80,1
39,2118,3
39,3769,2
39,410,2
40,1534,3
40,4356,4
40,2821,2
40,3166,3
40,3247,1
40,2594,3
41,1996,2
41,3972,3
41,1281,1
41,302,3
41,4372,4
41,4403,4
42,4511,1
42,4525,1
42,2123,3
42,4605,3
42,1753,2
42,4855,1
43,2327,2
43,2639,4
